ID,CommonName,Species,Sex,Phase,Tag_duration_d,Num_dives,Total_lunges
20145644,Blue whale,Balaenoptera musculus,M,Day,19,1070,414
20145644,Blue whale,Balaenoptera musculus,M,Night,19,322,59
20145650,Blue whale,Balaenoptera musculus,M,Day,20,1844,472
20145650,Blue whale,Balaenoptera musculus,M,Night,20,1163,213
20145655,Blue whale,Balaenoptera musculus,F,Day,19.8,2569,3252
20145655,Blue whale,Balaenoptera musculus,F,Night,19.8,1538,154
20145803,Blue whale,Balaenoptera musculus,F,Day,18.3,1919,1721
20145803,Blue whale,Balaenoptera musculus,F,Night,18.3,879,90
2015838,Blue whale,Balaenoptera musculus,F,Day,25.9,2793,5390
2015838,Blue whale,Balaenoptera musculus,F,Night,25.9,1811,957
2015840,Blue whale,Balaenoptera musculus,U,Day,24.8,1686,2267
2015840,Blue whale,Balaenoptera musculus,U,Night,24.8,566,91
20154177,Blue whale,Balaenoptera musculus,M,Day,27.5,1824,395
20154177,Blue whale,Balaenoptera musculus,M,Night,27.5,999,56
20155650,Blue whale,Balaenoptera musculus,M,Day,28.9,1492,969
20155650,Blue whale,Balaenoptera musculus,M,Night,28.9,806,71
20145685,Fin whale,Balaenoptera physalus,M,Day,14.2,827,957
20145685,Fin whale,Balaenoptera physalus,M,Night,14.2,370,48
20145838,Fin whale,Balaenoptera physalus,F,Day,4.9,649,1062
20145838,Fin whale,Balaenoptera physalus,F,Night,4.9,382,138
20155654,Fin whale,Balaenoptera physalus,U,Day,16,1174,2022
20155654,Fin whale,Balaenoptera physalus,U,Night,16,525,214