name,species,length,b,m,mass
bb180304-42,bb,8.12,1.009,3.091,6614
bb180304-45,bb,8.58,1.009,3.091,7842
bb190224-48,bb,5.76,1.009,3.091,2288
bb190224-52,bb,4.54,1.009,3.091,1096
bb190225-54,bb,7.96,1.009,3.091,6219
bb190225-55,bb,8.79,1.009,3.091,8450
bb190226-53,bb,6.56,1.009,3.091,3420
bb190226-56,bb,6.53,1.009,3.091,3372
bb190228-18,bb,5.97,1.009,3.091,2556
bb190228-52,bb,8.47,1.009,3.091,7535
bb190228-55b,bb,7.06,1.009,3.091,4292
bb190302-48,bb,8.62,1.009,3.091,7955
bb190302-52,bb,8.09,1.009,3.091,6538
bb190309-52,bb,7.16,1.009,3.091,4483
be180423-41,be,9.97,0.216,3.521,5400
be180427-42,be,14.1,0.216,3.521,18298
bp170907-41b,bp,18.47,1.087,2.748,36919
bp180525-44b,bp,20.74,1.087,2.748,50768
bp180526-42,bp,17.72,1.087,2.748,32944
bp180526-44,bp,18.15,1.087,2.748,35188
bp180526-45,bp,19.58,1.087,2.748,43341
bp180528-47,bp,16.67,1.087,2.748,27853
bp180602-44,bp,15.28,1.087,2.748,21927
bp180828-44,bp,19.33,1.087,2.748,41837
bp180830-53,bp,15.81,1.087,2.748,24080
bs190322-47,bs,16.62,0.811,3.019,31339
bs190322-49,bs,15.73,0.811,3.019,26541
bw170813-44,bw,22.59,0.03,3.539,66299
bw170814-31,bw,22.21,0.03,3.539,62436
bw170814-40,bw,22.53,0.03,3.539,65678
bw170814-50,bw,22.75,0.03,3.539,67976
bw170814-51,bw,20.7,0.03,3.539,48665
bw170815-21,bw,22.55,0.03,3.539,65885
bw170815-28,bw,21.09,0.03,3.539,51988
bw170815-43,bw,21.98,0.03,3.539,60178
bw170816-23,bw,23.35,0.03,3.539,74536
bw170816-27,bw,22.51,0.03,3.539,65472
bw170816-41,bw,24.12,0.03,3.539,83605
bw170816-42,bw,24.43,0.03,3.539,87470
bw170816-44,bw,21.77,0.03,3.539,58168
bw170816-51,bw,22.93,0.03,3.539,69899
bw180525-42,bw,22.48,0.03,3.539,65164
bw180527-41,bw,23.29,0.03,3.539,73861
bw180827-46,bw,24.2,0.03,3.539,84591
bw180827-52,bw,23.59,0.03,3.539,77283
bw180828-48b,bw,22.82,0.03,3.539,68719
bw180828-49,bw,22.09,0.03,3.539,61250
bw180829-30,bw,20.37,0.03,3.539,45975
bw180829-47,bw,23.12,0.03,3.539,71970
bw180830-40,bw,22.7,0.03,3.539,67449
bw180830-42,bw,21.6,0.03,3.539,56576
bw180830-46,bw,19.27,0.03,3.539,37774
bw180830-49,bw,22,0.03,3.539,60372
bw180830-52a,bw,22.9,0.03,3.539,69576
bw180830-52b,bw,21.98,0.03,3.539,60178
bw180904-44,bw,25.18,0.03,3.539,97350
bw180904-48,bw,22.83,0.03,3.539,68826
bw180904-52,bw,22.06,0.03,3.539,60956
bw180905-42,bw,20.16,0.03,3.539,44319
bw180905-53,bw,24.49,0.03,3.539,88233
bw181001-62b,bw,21.8,0.03,3.539,58452
mn151018-3,mn,13.7,0.013,4,36298
mn160421-3,mn,12.71,0.013,4,26889
mn161117-10,mn,12.71,0.013,4,26889
mn170703-40,mn,10.1,0.013,4,10722
mn170807-40,mn,10.44,0.013,4,12241
mn170807-41,mn,12.17,0.013,4,22603
mn170807-50c,mn,10.49,0.013,4,12477
mn170808-42,mn,8.22,0.013,4,4704
mn170809-41,mn,8.8,0.013,4,6179
mn170809-43,mn,10.2,0.013,4,11153
mn170809-44,mn,12.73,0.013,4,27059
mn170809-50,mn,11.76,0.013,4,19707
mn170809-51,mn,10.55,0.013,4,12765
mn170810-30,mn,14.76,0.013,4,48904
mn170810-40,mn,7.07,0.013,4,2574
mn170810-41,mn,11.76,0.013,4,19707
mn170810-42,mn,9.78,0.013,4,9427
mn170815-10,mn,12.21,0.013,4,22901
mn170815-20,mn,11.19,0.013,4,16155
mn170817-30,mn,11.69,0.013,4,19242
mn170817-43,mn,11.97,0.013,4,21153
mn170817-50,mn,13.13,0.013,4,30624
mn170817-51,mn,10.6,0.013,4,13008
mn170908-44,mn,14.74,0.013,4,48640
mn180227-40,mn,10.48,0.013,4,12429
mn180227-41,mn,11.99,0.013,4,21295
mn180227-43,mn,10,0.013,4,10304
mn180227-44,mn,11.43,0.013,4,17587
mn180227-46,mn,10.66,0.013,4,13305
mn180228-47,mn,9.42,0.013,4,8113
mn180302-27,mn,11.38,0.013,4,17281
mn180302-47,mn,11.36,0.013,4,17160
mn180423-43,mn,12.71,0.013,4,26889
mn180831-11,mn,12.93,0.013,4,28800
mn180831-20,mn,12.38,0.013,4,24204
mn180831-30,mn,7.82,0.013,4,3853
mn180831-44,mn,13.1,0.013,4,30345
mn180906-30b,mn,11.65,0.013,4,18980
mn180906-40,mn,9.99,0.013,4,10263
mn180906-47,mn,7.87,0.013,4,3953
mn181002-45,mn,12.3,0.013,4,23584
mn181002-53,mn,12.3,0.013,4,23584
mn181003-53,mn,12,0.013,4,21366